flags,utterance,category,intent,intent_encoded,category_encoded
BEM,I do not know how I can report payment issues,PAYMENT,payment_issue,18,8
BIP,how could I make a purchase?,ORDER,place_order,19,7
BIMP,could you help me checking the invoices from 1 months ago?,INVOICE,check_invoice,4,5
B,I am trying to change the shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
B,I call to leave a review for a service,FEEDBACK,review,22,4
BM,assistance buying several of your item,ORDER,place_order,19,7
BI,how can I create an account?,ACCOUNT,create_account,10,0
B,I have got to recover my password,ACCOUNT,recover_password,20,0
BL,I want assistance chatting with a human agent,CONTACT,contact_human_agent,9,2
B,I want assistance checking the refund status,REFUND,track_refund,26,9
B,I have to get a refund of money,REFUND,get_refund,16,9
B,information about the delivery period,DELIVERY,delivery_period,13,3
B,problem with the options for delivery,DELIVERY,delivery_options,12,3
BKL,lodge complaint against your organization,FEEDBACK,complaint,7,4
BIM,can you help me getting my invoices?,INVOICE,get_invoice,15,5
BM,I want help getting my invoices,INVOICE,get_invoice,15,5
BI,can you help me to check the options for delivery?,DELIVERY,delivery_options,12,3
BLQ,i need help to see what payment options are available,PAYMENT,check_payment_methods,5,8
BILQ,how to see the withdrawal charge,CANCELLATION_FEE,check_cancellation_fee,3,1
BMP,I would like to add several items to an order,ORDER,change_order,1,7
BL,I need help to open a new freemium account,ACCOUNT,create_account,10,0
B,customer service mail,CONTACT,contact_customer_service,8,2
BI,how do I recover my password?,ACCOUNT,recover_password,20,0
BE,I do not know what to do to delete my account,ACCOUNT,delete_account,11,0
BIMP,could you help me to buy a few of your item?,ORDER,place_order,19,7
B,I need help to track the last order,ORDER,track_order,25,7
BIP,would it be possible to get a refund?,REFUND,get_refund,16,9
BI,what do I have to do to leave a review for your company?,FEEDBACK,review,22,4
B,I have a question about canceling the last order I made,ORDER,cancel_order,0,7
BM,assistance reporting payment issues,PAYMENT,payment_issue,18,8
B,assistance cancelling my order,ORDER,cancel_order,0,7
BM,I want help solving payment issues,PAYMENT,payment_issue,18,8
BM,I don't know what I need to do to buy a few of your item,ORDER,place_order,19,7
BIP,where could I check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee,3,1
BL,assistance using my new user profile,ACCOUNT,switch_account,24,0
BIM,where do I check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee,3,1
BM,I want to check what options for delivery I can choose,DELIVERY,delivery_options,12,3
B,I need help leaving a review for your services,FEEDBACK,review,22,4
B,I want assistance to find the invoice from last month,INVOICE,check_invoice,4,5
BLP,I don't know how I could create another standard account,ACCOUNT,create_account,10,0
BI,how do I check what hours customer service available is?,CONTACT,contact_customer_service,8,2
BEL,I do not know how I can list the accepted payment options,PAYMENT,check_payment_methods,5,8
B,I can't switch to another account,ACCOUNT,switch_account,24,0
BLQ,wanna check at what time i can reach customer service,CONTACT,contact_customer_service,8,2
BELQW,i do not know how to make a fucking consumer reclamation,FEEDBACK,complaint,7,4
BIP,where could I get the invoice from my last purchase?,INVOICE,get_invoice,15,5
BM,I want assistance checking the invoices,INVOICE,check_invoice,4,5
BLQ,I'm trying to open a different online account for my mother,ACCOUNT,create_account,10,0
BIL,can you help me speaking with an agent?,CONTACT,contact_human_agent,9,2
B,I have to check in what cases can I ask to be refunded,REFUND,check_refund_policy,6,9
BLQ,help me to see what hours i can reach customer service,CONTACT,contact_customer_service,8,2
BM,information about the delivery periods,DELIVERY,delivery_period,13,3
BMP,I would like information about forgotten passwords,ACCOUNT,recover_password,20,0
BIP,could you help me to use another account?,ACCOUNT,switch_account,24,0
B,I don't know how to check when will my item arrive,DELIVERY,delivery_period,13,3
BM,help to report an issue with payments,PAYMENT,payment_issue,18,8
B,question about my payment,PAYMENT,payment_issue,18,8
BIM,can you help me finding the invoice from 10 purchases ago?,INVOICE,check_invoice,4,5
BLQ,tell me more about unsubscribing to ur corporate newsletter,NEWSLETTER,newsletter_subscription,17,6
B,help me using another account,ACCOUNT,switch_account,24,0
BL,assistance to make a consumer complaint,FEEDBACK,complaint,7,4
BIP,where could I check the status of my refund?,REFUND,track_refund,26,9
BI,how can I edit the information on my account?,ACCOUNT,edit_account,14,0
B,I want to check at what time I can contact customer service,CONTACT,contact_customer_service,8,2
B,I need help creating an account,ACCOUNT,create_account,10,0
BL,I want assistance to open a different account for my dad,ACCOUNT,create_account,10,0
B,I need assistance to check the invoice from my last purchase,INVOICE,check_invoice,4,5
B,question about cancelling an order I have made,ORDER,cancel_order,0,7
BM,I have problems with canceling an order,ORDER,cancel_order,0,7
BIM,how do I check the invoices from August?,INVOICE,check_invoice,4,5
BI,when am I getting a refund?,REFUND,get_refund,16,9
BL,I need help to recover the PIN code of my account,ACCOUNT,recover_password,20,0
BEL,I do not know how to open a different account,ACCOUNT,create_account,10,0
BI,can you help me making a purchase?,ORDER,place_order,19,7
BL,tell me more about a standard account removal,ACCOUNT,delete_account,11,0
BI,how to change the shipping address?,SHIPPING_ADDRESS,change_shipping_address,2,10
BIMP,would you give me information about order cancellations?,ORDER,cancel_order,0,7
BL,I want to cancel the subscription to your newsletter,NEWSLETTER,newsletter_subscription,17,6
BIP,could I check how soon can I expect the delivery?,DELIVERY,delivery_period,13,3
BIP,could I file a complaint against your business?,FEEDBACK,complaint,7,4
BI,what do I have to do to get my money back?,REFUND,get_refund,16,9
BM,I have problems with cancelling the last order I have made,ORDER,cancel_order,0,7
BM,assistance buying some of your item,ORDER,place_order,19,7
B,I want help to subscribe to your company newsletter,NEWSLETTER,newsletter_subscription,17,6
BI,how can I set a new shipping address up?,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BIMP,could you help me to check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee,3,1
BI,where is my order?,ORDER,track_order,25,7
BL,help me restore my password,ACCOUNT,recover_password,20,0
BIM,how can I check what options for delivery you offer?,DELIVERY,delivery_options,12,3
BM,I need information about user account deletions,ACCOUNT,delete_account,11,0
BILQ,can uhelp me signing up to the newsletter,NEWSLETTER,newsletter_subscription,17,6
BM,assistance checking what delivery options I can choose,DELIVERY,delivery_options,12,3
B,help me remove an item from an order,ORDER,change_order,1,7
B,help me canceling an order I made,ORDER,cancel_order,0,7
B,I have to file a complaint against your business,FEEDBACK,complaint,7,4
BILZ,can I changew to another profile?,ACCOUNT,switch_account,24,0
BIM,what do I need to do to check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee,3,1
BL,help me change the information on my account,ACCOUNT,edit_account,14,0
BI,what do I need to do to check the invoice from last month?,INVOICE,check_invoice,4,5
BELQ,i do not know how i can reset my user account key,ACCOUNT,recover_password,20,0
BM,I want to check the invoice from 9 months ago,INVOICE,check_invoice,4,5
B,I put the old address by mistake,SHIPPING_ADDRESS,change_shipping_address,2,10
BM,I want help to find the invoices from last month,INVOICE,check_invoice,4,5
BELZ,I do no know what to do to list your payment methods,PAYMENT,check_payment_methods,5,8
B,show me the refund status,REFUND,track_refund,26,9
BM,help me checking if there is any updates on my refund,REFUND,track_refund,26,9
BELQ,i do not know what i have to do to recover my pin code,ACCOUNT,recover_password,20,0
BCILPQZ,i have got to subscribe to ur newsletter will  uhelp me,NEWSLETTER,newsletter_subscription,17,6
BI,can you help me to subscribe to your company newsletter?,NEWSLETTER,newsletter_subscription,17,6
BIM,can you help me check what delivery options I can choose?,DELIVERY,delivery_options,12,3
B,I need to check the invoice from February,INVOICE,check_invoice,4,5
BE,I do not know what to do to set another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BI,can I register?,ACCOUNT,create_account,10,0
B,assistance to change my shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
BIM,where do I buy several of your item?,ORDER,place_order,19,7
B,assistance to set another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
B,I am trying to check in what cases can I ask for refunds,REFUND,check_refund_policy,6,9
BM,I am trying to buy several items,ORDER,place_order,19,7
BI,can you help me checking the status of my refund?,REFUND,track_refund,26,9
B,I don't know what I have to do to get a refund,REFUND,get_refund,16,9
B,I have a problem with canceling the last order I have made,ORDER,cancel_order,0,7
B,I need assistance to check the status of my order,ORDER,track_order,25,7
BIL,where do I notify of a sign-up error?,ACCOUNT,registration_problems,21,0
B,I have a problem with changing the order I have made,ORDER,change_order,1,7
BI,where do I check if there is anything wrong with my refund?,REFUND,track_refund,26,9
BI,can you help me checking how long refunds usually take?,REFUND,check_refund_policy,6,9
BW,help me to use another bloody account,ACCOUNT,switch_account,24,0
BIMP,would it be possible to get the invoices from last month?,INVOICE,get_invoice,15,5
BM,help me removing several items,ORDER,change_order,1,7
BCEILQZ,ay are not being helpful can i speak with a live agent,CONTACT,contact_human_agent,9,2
B,I want help getting my money back,REFUND,get_refund,16,9
BE,I do not know how I can delete an account,ACCOUNT,delete_account,11,0
BIL,can you help me to subscribe to your corporate newsletter?,NEWSLETTER,newsletter_subscription,17,6
BI,how can I check how long the delivery takes?,DELIVERY,delivery_period,13,3
BMP,I would like to check what delivery options I have,DELIVERY,delivery_options,12,3
BILQ,is it possible to edit the info included on my account?,ACCOUNT,edit_account,14,0
BILP,could you help me subscribing to the company newsletter?,NEWSLETTER,newsletter_subscription,17,6
BI,can you tell me about delivery period?,DELIVERY,delivery_period,13,3
BLMZ,I try to see ther cancellation penalties,CANCELLATION_FEE,check_cancellation_fee,3,1
BM,I don't know how to buy several of your item,ORDER,place_order,19,7
BI,what do I need to do to check the status of the refund?,REFUND,track_refund,26,9
B,tell me about the options for delivery,DELIVERY,delivery_options,12,3
BEL,I do not know how to speak with customer service,CONTACT,contact_customer_service,8,2
BL,question about my key reset,ACCOUNT,recover_password,20,0
BIM,how to get the invoices from March?,INVOICE,get_invoice,15,5
BLZ,I need  assistance to see the termination penalty,CANCELLATION_FEE,check_cancellation_fee,3,1
B,help deleting the account,ACCOUNT,delete_account,11,0
BI,how can I subscribe to your company newsletter?,NEWSLETTER,newsletter_subscription,17,6
B,I want help to add something,ORDER,change_order,1,7
BILQ,can uhelp me to open a new account,ACCOUNT,create_account,10,0
B,I can't change my shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
BM,I need assistance checking the invoice from four months ago,INVOICE,check_invoice,4,5
BE,I do not know how I can get a refund,REFUND,get_refund,16,9
BI,what do I have to do to edit my account?,ACCOUNT,edit_account,14,0
BILQ,can uhelp me cancel my subscription to ur newsletter,NEWSLETTER,newsletter_subscription,17,6
BIP,how could I leave a review for your services?,FEEDBACK,review,22,4
BKL,switching to new profile,ACCOUNT,switch_account,24,0
B,I don't know what I need to do to file a complaint,FEEDBACK,complaint,7,4
BM,I need help solving payment issues,PAYMENT,payment_issue,18,8
BM,I want help to report issues with payment,PAYMENT,payment_issue,18,8
B,help me leaving a review for your company,FEEDBACK,review,22,4
BEL,I do not know how I can cancel an online account,ACCOUNT,delete_account,11,0
BI,how do I cancel the company newsletter subscription?,NEWSLETTER,newsletter_subscription,17,6
B,when can I expect a refund,REFUND,get_refund,16,9
BEL,I do not know how to check the payment options,PAYMENT,check_payment_methods,5,8
BILQ,is it possible to see the early termination penalty,CANCELLATION_FEE,check_cancellation_fee,3,1
BIM,where to get refunds of money?,REFUND,get_refund,16,9
BIP,could you help me checking the status of my order?,ORDER,track_order,25,7
BE,I do not know how to report a registration issue,ACCOUNT,registration_problems,21,0
B,I need assistance to edit my personal information,ACCOUNT,edit_account,14,0
BM,help me buying several items,ORDER,place_order,19,7
B,help cancelling the subscription to your company newsletter,NEWSLETTER,newsletter_subscription,17,6
BEP,I do not know how I could report an issue with payment,PAYMENT,payment_issue,18,8
BIP,could you help me track the refund?,REFUND,track_refund,26,9
BMP,I don't know how I could report issues with payment,PAYMENT,payment_issue,18,8
B,help me check in what cases can I ask to be refunded,REFUND,check_refund_policy,6,9
BLQ,i need help regarding the online signup,ACCOUNT,registration_problems,21,0
B,I need assistance checking how soon can I expect the item,DELIVERY,delivery_period,13,3
B,check your allowed payment methods,PAYMENT,check_payment_methods,5,8
B,I have to submit some feedback for your services,FEEDBACK,review,22,4
BI,can you help me to get my money back?,REFUND,get_refund,16,9
BILQ,what do i need to do to use a different account,ACCOUNT,switch_account,24,0
B,I want assistance changing my shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
BIMP,could you help me finding the invoices from last month?,INVOICE,check_invoice,4,5
BE,I do not know how I can track an order,ORDER,track_order,25,7
BILZ,how do I talk with an aent?,CONTACT,contact_human_agent,9,2
B,I don't know how I can submit some feedback for a service,FEEDBACK,review,22,4
BL,information about the lost key,ACCOUNT,recover_password,20,0
BILQZ,how do i talk to a hyman agent,CONTACT,contact_human_agent,9,2
B,help me get the invoice,INVOICE,get_invoice,15,5
B,show me what payment methods are available,PAYMENT,check_payment_methods,5,8
B,I don't know how I can check your allowed payment methods,PAYMENT,check_payment_methods,5,8
B,help me to report an issue with payment,PAYMENT,payment_issue,18,8
BLZ,assistance toi notify of a sign-up problem,ACCOUNT,registration_problems,21,0
BK,status of order,ORDER,track_order,25,7
BIP,how could I edit my account?,ACCOUNT,edit_account,14,0
B,assistance to get a refund,REFUND,get_refund,16,9
B,I need help submitting some feedback for your company,FEEDBACK,review,22,4
BI,can I delete an account?,ACCOUNT,delete_account,11,0
BIP,how could I edit my personal information?,ACCOUNT,edit_account,14,0
B,help me check when my item is going to arrive,DELIVERY,delivery_period,13,3
BIP,would you give me information about a forgotten password?,ACCOUNT,recover_password,20,0
B,help me checking what hours customer service available is,CONTACT,contact_customer_service,8,2
BIP,could you tell me about a user account deletion?,ACCOUNT,delete_account,11,0
BI,how to check if there is anything new on my refund?,REFUND,track_refund,26,9
B,I want help setting another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BLZ,help me making a consumer clpaim against your company,FEEDBACK,complaint,7,4
BE,I do not know what I need to do to get my invoice,INVOICE,get_invoice,15,5
BL,I don't know how I can restore my PIN,ACCOUNT,recover_password,20,0
B,I need assistance to set another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BL,I want information about the subscription to the newsletter,NEWSLETTER,newsletter_subscription,17,6
BI,how do I get a refund of money?,REFUND,get_refund,16,9
B,I don't want to pay for the last order I have made,ORDER,cancel_order,0,7
BI,can you help me to check my refund status?,REFUND,track_refund,26,9
BL,I need help to see the early exit penalty,CANCELLATION_FEE,check_cancellation_fee,3,1
BCELQZ,I'm not happy with ur service make a cutomer complaint,FEEDBACK,complaint,7,4
BLZ,I want to filea claim,FEEDBACK,complaint,7,4
BIP,how could I cancel the last order I made?,ORDER,cancel_order,0,7
BM,question about cancelling orders,ORDER,cancel_order,0,7
BEP,I do not know how I could cancel my last order,ORDER,cancel_order,0,7
BM,I try to get the invoices from May,INVOICE,get_invoice,15,5
BM,help me checking the invoices from 3 purchases ago,INVOICE,check_invoice,4,5
BIP,could you tell me about delivery period?,DELIVERY,delivery_period,13,3
BK,get invoice from September,INVOICE,get_invoice,15,5
BL,I don't know what I need to do to inform of a signup issue,ACCOUNT,registration_problems,21,0
BIM,where do I report an issue with payments?,PAYMENT,payment_issue,18,8
B,I want to find the invoice from last month,INVOICE,check_invoice,4,5
B,I need assistance setting up a new shipping address,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BM,I am trying to report registration issues,ACCOUNT,registration_problems,21,0
BIP,could you help me canceling the order I have made?,ORDER,cancel_order,0,7
B,I want to subscribe to your company newsletter,NEWSLETTER,newsletter_subscription,17,6
BI,what do I have to do to track the last order?,ORDER,track_order,25,7
BI,how can I report a payment issue?,PAYMENT,payment_issue,18,8
B,assistance to check in what cases can I ask for a refund,REFUND,check_refund_policy,6,9
BIL,how do I report a signup error?,ACCOUNT,registration_problems,21,0
B,help taking a quick look at the invoice from last month,INVOICE,check_invoice,4,5
BIP,could you help me checking your allowed payment methods?,PAYMENT,check_payment_methods,5,8
BCELZ,"I am not happy with your service, I try to lodge an claim",FEEDBACK,complaint,7,4
B,I need to file a complaint,FEEDBACK,complaint,7,4
B,I need assistance with adding an item,ORDER,change_order,1,7
BIP,will you show me the invoice from last month?,INVOICE,check_invoice,4,5
B,help me checking how long refunds take,REFUND,check_refund_policy,6,9
BK,cancel subscription to your company newsletter,NEWSLETTER,newsletter_subscription,17,6
BM,I need help solving an issue with payments,PAYMENT,payment_issue,18,8
BIM,is it possible to add some items to an order?,ORDER,change_order,1,7
BIP,could you show me in what cases can I ask for refunds?,REFUND,check_refund_policy,6,9
B,I want assistance leaving a review,FEEDBACK,review,22,4
B,I don't know how to set a different shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BIP,how could I submit some feedback?,FEEDBACK,review,22,4
B,information about the options for delivery,DELIVERY,delivery_options,12,3
B,I need help to change my shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
BE,I am trying to find information about canceling an order,ORDER,cancel_order,0,7
BIP,how could I create an account?,ACCOUNT,create_account,10,0
BI,can you help me registering?,ACCOUNT,create_account,10,0
B,help to check your allowed payment methods,PAYMENT,check_payment_methods,5,8
B,I don't know how to cancel my order,ORDER,cancel_order,0,7
B,I need assistance with cancelling an order,ORDER,cancel_order,0,7
BKM,get invoices from last month,INVOICE,get_invoice,15,5
BILQ,can ya help me check the withdrawal charge,CANCELLATION_FEE,check_cancellation_fee,3,1
BQ,need to switch to another account,ACCOUNT,switch_account,24,0
B,help me submit some feedback,FEEDBACK,review,22,4
BIP,could I check your allowed payment methods?,PAYMENT,check_payment_methods,5,8
BI,where can I get my money back?,REFUND,get_refund,16,9
BM,I have to get the invoices,INVOICE,get_invoice,15,5
B,help with changing something of an order,ORDER,change_order,1,7
B,I want help to edit the information on my account,ACCOUNT,edit_account,14,0
BI,can you show me when my item is going to arrive?,DELIVERY,delivery_period,13,3
B,I need to set up another shipping address,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BL,I don't know how I can see your available payment options,PAYMENT,check_payment_methods,5,8
BE,I am trying to find information about delivery periods,DELIVERY,delivery_period,13,3
BI,how to leave a review for a service?,FEEDBACK,review,22,4
BIM,can you help me get the invoices from 3 purchases ago?,INVOICE,get_invoice,15,5
BM,give me information about forgotten passwords,ACCOUNT,recover_password,20,0
BI,how do I check the status of my order?,ORDER,track_order,25,7
BI,is it possible to change my shipping address?,SHIPPING_ADDRESS,change_shipping_address,2,10
BLQ,I'm trying to unsubscribe to ur corporate newsletter,NEWSLETTER,newsletter_subscription,17,6
B,I need to check your money back policy,REFUND,check_refund_policy,6,9
B,help checking my order ETA,ORDER,track_order,25,7
BKM,issues with registration,ACCOUNT,registration_problems,21,0
BI,how do I use another account?,ACCOUNT,switch_account,24,0
B,help to leave a review for your services,FEEDBACK,review,22,4
BI,can you help me take a quick look at my invoice?,INVOICE,check_invoice,4,5
BELQ,i do not know what to do to change my user data,ACCOUNT,edit_account,14,0
BLM,there are errors with my online sign-up,ACCOUNT,registration_problems,21,0
BLM,I want help seeing the cancellation penalties,CANCELLATION_FEE,check_cancellation_fee,3,1
BELWZ,I do not know how to speak ot bloody customer service,CONTACT,contact_customer_service,8,2
BEL,I do not know what to do to sign up to your newsletter,NEWSLETTER,newsletter_subscription,17,6
BIMP,could you tell me more about forgotten passwords?,ACCOUNT,recover_password,20,0
BKM,get invoices,INVOICE,get_invoice,15,5
BEP,I do not know how I could switch to another account,ACCOUNT,switch_account,24,0
BIM,can you help me to check the invoice from 11 months ago?,INVOICE,check_invoice,4,5
BM,I have problems with canceling an order I have made,ORDER,cancel_order,0,7
BM,I don't know what I have to do to buy several items,ORDER,place_order,19,7
BM,I need assistance buying some items,ORDER,place_order,19,7
BE,I do not know how I can add an item,ORDER,change_order,1,7
B,help me to remove something from an order,ORDER,change_order,1,7
B,I am trying to report an issue with payment,PAYMENT,payment_issue,18,8
B,I want assistance to delete my account,ACCOUNT,delete_account,11,0
BI,what do I need to do to get the invoice?,INVOICE,get_invoice,15,5
BI,where can I submit some feedback for your company?,FEEDBACK,review,22,4
BLZ,I need assistance cchecking your available payment methods,PAYMENT,check_payment_methods,5,8
B,I want help changing an order I made,ORDER,change_order,1,7
BIMP,could you help me getting the invoices from May?,INVOICE,get_invoice,15,5
B,help editing my account,ACCOUNT,edit_account,14,0
B,help me checking the refund status,REFUND,track_refund,26,9
B,set another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BM,I am trying to buy a few of your item,ORDER,place_order,19,7
BLQ,i want help signing up to the corporate newsletter,NEWSLETTER,newsletter_subscription,17,6
BIM,how can I report registration issues?,ACCOUNT,registration_problems,21,0
BCILQ,need to correct the personal data how can i do it,ACCOUNT,edit_account,14,0
BIMP,how could I buy some items?,ORDER,place_order,19,7
BM,I call to check what options for delivery I have,DELIVERY,delivery_options,12,3
BIPQ,where could i subscribe to ur company newsletter,NEWSLETTER,newsletter_subscription,17,6
BLQ,need help opening a new account,ACCOUNT,create_account,10,0
BE,I do not know how I can switch user,ACCOUNT,switch_account,24,0
BCIL,"I have got to talk with customer support, how to do it?",CONTACT,contact_customer_service,8,2
BI,can you help me to change an order I have made?,ORDER,change_order,1,7
BE,I do not know how I can set another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
B,help submitting some feedback for a service,FEEDBACK,review,22,4
B,I want to remove an item from an order,ORDER,change_order,1,7
BK,leave review for your services,FEEDBACK,review,22,4
BI,can I file a complaint against your business?,FEEDBACK,complaint,7,4
BL,I can't retrieve my account PIN,ACCOUNT,recover_password,20,0
BIP,could you help me get my invoice?,INVOICE,get_invoice,15,5
BIP,could you help me switching to another account?,ACCOUNT,switch_account,24,0
B,I want help setting up a different shipping address,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BIM,can you tell me about forgotten passwords?,ACCOUNT,recover_password,20,0
B,help me to track my last order,ORDER,track_order,25,7
BM,I need to check what options for delivery I can choose,DELIVERY,delivery_options,12,3
B,help me checking what hours I can contact customer service,CONTACT,contact_customer_service,8,2
BI,can you tell me about changing my shipping address?,SHIPPING_ADDRESS,change_shipping_address,2,10
BIP,will you show me what payment methods you accept?,PAYMENT,check_payment_methods,5,8
BLZ,I need assistance with ouruser sign-up,ACCOUNT,registration_problems,21,0
BM,I need to check what options for delivery you offer,DELIVERY,delivery_options,12,3
BIP,where could I check the options for delivery?,DELIVERY,delivery_options,12,3
B,I want to edit my personal information,ACCOUNT,edit_account,14,0
BP,I would like to check in what cases can I ask for refunds,REFUND,check_refund_policy,6,9
BILP,could you help me speak with an agent?,CONTACT,contact_human_agent,9,2
BCELQZ,I'm not happy wih ur service help me to file a claim,FEEDBACK,complaint,7,4
B,I want to know more about a forgotten password,ACCOUNT,recover_password,20,0
BILQ,what do i need to do to make a complaint,FEEDBACK,complaint,7,4
BLQ,i try to create a new account for my father,ACCOUNT,create_account,10,0
BKM,getting invoice from eleven months ago,INVOICE,get_invoice,15,5
BCELZ,"I do not make use of the online accoynt, help cancelling it",ACCOUNT,delete_account,11,0
BLQ,i want help creating a new online account,ACCOUNT,create_account,10,0
BE,I do not know how I can register,ACCOUNT,create_account,10,0
BI,can you help me canceling the last order?,ORDER,cancel_order,0,7
B,I need help to subscribe to your company newsletter,NEWSLETTER,newsletter_subscription,17,6
BCEL,"I cannot sign up, I want to report a sign-up error",ACCOUNT,registration_problems,21,0
B,I try to set up a new shipping address,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BLMQ,i need assistance to update the user details,ACCOUNT,edit_account,14,0
BIP,could you help me to leave a review for your company?,FEEDBACK,review,22,4
BM,I want to remove some items from an order,ORDER,change_order,1,7
BIM,can you tell me about the delivery periods?,DELIVERY,delivery_period,13,3
BIP,could I cancel the subscription to your company newsletter?,NEWSLETTER,newsletter_subscription,17,6
B,I don't know how to check your money back policy,REFUND,check_refund_policy,6,9
BM,I want help to get the invoices,INVOICE,get_invoice,15,5
BP,I would like to change the last order,ORDER,change_order,1,7
B,I need assistance checking how long refunds take,REFUND,check_refund_policy,6,9
BP,I don't know how I could cancel the order I made,ORDER,cancel_order,0,7
BEM,I do not know how to take a quick look at my invoices,INVOICE,check_invoice,4,5
BI,can you tell me what payment methods are available?,PAYMENT,check_payment_methods,5,8
B,assistance setting a different shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
B,I try to check in what cases can I ask for my money back,REFUND,check_refund_policy,6,9
B,I try to check when my item is going to arrive,DELIVERY,delivery_period,13,3
BE,I do not know what I have to do to edit my account,ACCOUNT,edit_account,14,0
BIP,could I check my order ETA?,ORDER,track_order,25,7
